YEAR,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,UNIQUE_CARRIER_NAME,SERIAL_NUMBER,TAIL_NUMBER,AIRCRAFT_STATUS,OPERATING_STATUS,NUMBER_OF_SEATS,MANUFACTURER,AIRCRAFT_TYPE,MODEL,CAPACITY_IN_POUNDS,ACQUISITION_DATE,AIRLINE_ID,UNIQUE_CARRIER
2006,16,PSA Airlines Inc.,2003,PSA Airlines Inc.,7858,N202PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,10/28/2003 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2003,PSA Airlines Inc.,7860,N206PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,10/30/2003 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2003,PSA Airlines Inc.,7873,N207PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,11/26/2003 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2003,PSA Airlines Inc.,7874,N209PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,12/4/2003 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2003,PSA Airlines Inc.,7879,N213PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,12/16/2003 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2003,PSA Airlines Inc.,7880,N215PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,12/16/2003 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2003,PSA Airlines Inc.,7882,N216PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,12/18/2003 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,10135,N702PS,B,Y,70,CANADAIR,,RJ-700,67000,3/23/2004 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,10137,N703PS,B,Y,70,CANADAIR,,RJ-700,67000,3/26/2004 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,10144,N705PS,B,Y,70,CANADAIR,,RJ-700,67000,4/30/2004 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,10150,N706PS,B,Y,70,CANADAIR,,RJ-700,67000,7/8/2004 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,10160,N708PS,B,Y,70,CANADAIR,,RJ-700,67000,8/27/2004 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,7885,N218PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,1/7/2004 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,7887,N220PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,1/14/2004 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,7889,N221PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,1/21/2004 12:00:00 AM,20397,16
2006,16,PSA Airlines Inc.,2004,PSA Airlines Inc.,7892,N223PS,B,Y,50,CANADAIR,,CRJ-2/4,47000,1/27/2004 12:00:00 AM,20397,16
